#"Step","Potential Energy (kJ/mole)","Temperature (K)"
500,-1302764.5206892942,181.8841781449476
1000,-1302755.88900375,207.27215962489893
1500,-1302747.345894381,290.4272374032582
2000,-1302749.9943221195,299.85750434610526
2500,-1302715.8760458778,287.81703957235123
3000,-1302745.0469215366,377.2831341608411
3500,-1302741.432723111,431.00813586559326
4000,-1302707.7374173773,345.858619521268
4500,-1302711.1186581391,422.4494085639575
5000,-1302709.5011912482,338.8716073798206
5500,-1302689.7823257502,485.2332779430418
6000,-1302674.2147796317,419.4036161757166
6500,-1302710.721257443,468.0289376977615
7000,-1302702.6360204788,400.66645055664645
7500,-1302689.7632100708,287.31027764427546
8000,-1302713.8178426912,406.1301637152992
8500,-1302695.6940826408,362.63483335744917
9000,-1302709.3837875626,343.76820391179444
9500,-1302709.3863036372,439.0281394861849
10000,-1302690.4127449729,284.01255678304733
10500,-1302719.190755797,365.23309116669844
11000,-1302711.4222078805,305.83094954124243
11500,-1302688.596651893,425.5571861311155
12000,-1302690.3331164694,324.86423355458004
12500,-1302702.2114430724,281.54112251804787
13000,-1302686.8095220136,414.91741058900277
13500,-1302704.769151432,430.85973048331743
14000,-1302727.573900019,394.1649152779725
14500,-1302704.0182032639,365.2715869689086
15000,-1302685.0875609787,360.0519992147102
15500,-1302699.5162961585,492.2456122442393
16000,-1302685.2312700457,376.29910586255806
16500,-1302717.8529742828,525.0966717145482
17000,-1302714.5798672517,428.03728986862075
17500,-1302707.1107073098,386.3568561394476
18000,-1302701.8039754985,335.6110386163701
18500,-1302729.2379493625,534.5846244607823
19000,-1302718.816141827,436.3194550030656
19500,-1302720.2634653521,452.02136386718456
20000,-1302689.7328097809,302.6298233480005
20500,-1302720.6851631573,326.8207002673183
21000,-1302715.1818343075,426.0631587145276
21500,-1302708.9883130167,422.09793125664993
22000,-1302721.176873263,475.76725027500527
22500,-1302698.8599385072,433.6765335644709
23000,-1302700.0079657435,424.83506054300625
23500,-1302716.5650073783,369.5753315838364
24000,-1302730.539857717,405.3879711841081
24500,-1302718.3813339095,573.5410427661458
25000,-1302680.3647430672,447.15154761758714
25500,-1302675.9154436174,355.28248557085806
26000,-1302695.1832391245,446.4239343851316
26500,-1302674.3799885015,412.2994692444093
27000,-1302705.5979508758,398.0924493872039
27500,-1302712.3132590377,459.31263682667736
28000,-1302702.491226303,410.60786249055803
28500,-1302700.3194340263,416.35273811493096
29000,-1302683.794481451,470.52760036991594
29500,-1302685.5912103923,525.8476023685638
30000,-1302697.89210019,389.2019220039474
30500,-1302674.8860268116,386.3783183205535
31000,-1302706.7055583636,512.0979650323916
31500,-1302699.1444232077,411.02940286102256
32000,-1302709.0828169214,339.3085338067292
32500,-1302720.4864870738,399.2493264392777
33000,-1302691.8599103186,319.0623239226651
33500,-1302707.4888424498,470.9450040353373
34000,-1302713.6741053837,446.26398167617816
34500,-1302696.8516080303,337.3302437936414
35000,-1302713.7100182297,480.62008693712585
35500,-1302706.0591842802,566.912318588239
36000,-1302735.5987862423,624.3241091663302
36500,-1302678.5460198347,512.8925764832755
37000,-1302691.0583663422,572.3422390524403
37500,-1302688.048608879,429.096669926013
38000,-1302661.5070148304,351.21702284046387
38500,-1302646.7973027653,426.2511114199524
39000,-1302716.8299190134,456.2155867407434
39500,-1302707.1033678201,413.1747819695696
40000,-1302684.6685354474,434.5483694572199
40500,-1302666.5126764493,358.70774942074735
41000,-1302705.0879328158,483.0727710005628
41500,-1302731.249941822,548.4980174752369
42000,-1302700.5913875515,333.02004527857696
42500,-1302695.7340405204,343.22064272934756
43000,-1302719.2369431078,398.94733303518177
43500,-1302697.620623537,341.82785100041576
44000,-1302723.9489528174,395.77931410637365
44500,-1302712.2726211941,355.88548256752654
45000,-1302722.771003878,392.3932325440075
45500,-1302697.4175684347,289.22631394514434
46000,-1302709.260914626,362.35462873260633
46500,-1302731.6428787955,489.11164185177694
47000,-1302721.187029235,374.54089724805374
47500,-1302691.5099789794,421.8577888770117
48000,-1302677.4851965986,502.6849408445914
48500,-1302690.1928110137,440.00403417065615
49000,-1302673.697604648,559.3781804277653
49500,-1302681.1480834656,409.2963917244198
50000,-1302657.9630085514,347.04924297422593
50500,-1302698.2675885058,405.4871419924498
51000,-1302682.6604413583,364.4175117826176
51500,-1302676.9370636398,435.5613904894579
52000,-1302702.0016732092,536.99586448068
52500,-1302694.4751857345,342.27775411059577
53000,-1302689.410307377,293.3013915500587
53500,-1302689.2744709598,361.9456391031397
54000,-1302735.1055006338,425.786011131299
54500,-1302728.181241025,377.47369287480313
55000,-1302716.0265749295,365.4941210769038
55500,-1302711.0554686775,433.7261042288215
56000,-1302712.3292517313,496.4514169721119
56500,-1302685.5435338009,306.2892189118689
57000,-1302724.1263055417,363.11007105389467
57500,-1302711.2752662692,226.48433839705177
58000,-1302729.8011281153,321.20720878192463
58500,-1302731.0395493992,362.8890949013701
59000,-1302701.1198883764,430.33322377882854
59500,-1302703.6499641337,437.2203614619548
60000,-1302708.024812215,364.55696986673786
60500,-1302701.6437810436,411.1939474349632
61000,-1302720.3249975753,403.5649828134359
61500,-1302689.0858008943,383.4645621307619
62000,-1302676.1944770906,407.4076223356955
62500,-1302668.2895893718,443.8228134861374
63000,-1302672.619273802,513.9955608491193
63500,-1302699.3704773807,573.8072120245773
64000,-1302649.407970559,452.8349665248891
64500,-1302699.2014641569,495.0778842688162
65000,-1302668.1081507008,443.070943870684
65500,-1302689.1298053362,491.11551577442003
66000,-1302702.521978114,443.1352433482917
66500,-1302697.1703846492,494.9699995294339
67000,-1302691.632454482,510.3957514942502
67500,-1302686.1542282845,440.0052357267009
68000,-1302695.9301157382,478.76600842134405
68500,-1302689.010761214,354.8685099332156
69000,-1302691.1768922727,364.4257634582183
69500,-1302716.2260452658,398.4853801723141
70000,-1302709.3468627045,353.8606094138259
70500,-1302698.7361862848,300.944302587399
71000,-1302724.1369794682,365.33511817870334
71500,-1302721.7885001842,376.5037119253894
72000,-1302696.005251652,354.3563370400782
72500,-1302678.2174500215,379.0642436924633
73000,-1302680.7562579322,522.8599028124208
73500,-1302646.2616970362,366.34120955887573
74000,-1302686.280700655,397.33121230749714
74500,-1302714.3431864008,463.4638041735628
75000,-1302698.9928691224,407.08266944312163
75500,-1302683.706120305,464.2769751606041
76000,-1302718.275859944,351.32603974139903
76500,-1302713.815607091,506.8121325608226
77000,-1302710.7353822296,488.59912580484826
77500,-1302699.8856814378,363.0411346952222
