Step Range,Steps,Time (seconds),Time per Step (seconds)
0-500,500,20.9737,0.041947
500-1000,500,20.8570,0.041714
1000-1500,500,19.1662,0.038332
1500-2000,500,19.1898,0.038380
2000-2500,500,20.4921,0.040984
2500-3000,500,19.1222,0.038244
3000-3500,500,19.7099,0.039420
3500-4000,500,20.8216,0.041643
4000-4500,500,20.5664,0.041133
4500-5000,500,20.5676,0.041135
5000-5500,500,19.7622,0.039524
5500-6000,500,21.7897,0.043579
6000-6500,500,20.3740,0.040748
6500-7000,500,21.8265,0.043653
7000-7500,500,20.4695,0.040939
7500-8000,500,23.4459,0.046892
8000-8500,500,21.3909,0.042782
8500-9000,500,21.2192,0.042438
9000-9500,500,20.8245,0.041649
9500-10000,500,25.7826,0.051565
10000-10500,500,22.2612,0.044522
10500-11000,500,22.4829,0.044966
11000-11500,500,22.2885,0.044577
11500-12000,500,21.9307,0.043861
12000-12500,500,22.7280,0.045456
12500-13000,500,21.9550,0.043910
13000-13500,500,20.1568,0.040314
13500-14000,500,21.4733,0.042947
14000-14500,500,21.2488,0.042498
14500-15000,500,21.5188,0.043038
15000-15500,500,21.3965,0.042793
15500-16000,500,22.2238,0.044448
16000-16500,500,22.6488,0.045298
16500-17000,500,21.5667,0.043133
17000-17500,500,23.1851,0.046370
17500-18000,500,22.7945,0.045589
18000-18500,500,22.3799,0.044760
18500-19000,500,22.1595,0.044319
19000-19500,500,21.4636,0.042927
19500-20000,500,22.3351,0.044670
20000-20500,500,21.1818,0.042364
20500-21000,500,20.9584,0.041917
21000-21500,500,19.0179,0.038036
21500-22000,500,24.9750,0.049950
22000-22500,500,32.7361,0.065472
22500-23000,500,22.6348,0.045270
23000-23500,500,21.9877,0.043975
23500-24000,500,21.3965,0.042793
24000-24500,500,22.7135,0.045427
24500-25000,500,23.6711,0.047342
25000-25500,500,23.4623,0.046925
25500-26000,500,29.5354,0.059071
26000-26500,500,30.0470,0.060094
26500-27000,500,26.4147,0.052829
27000-27500,500,22.3995,0.044799
27500-28000,500,21.2232,0.042446
28000-28500,500,23.7586,0.047517
28500-29000,500,22.0433,0.044087
29000-29500,500,22.5545,0.045109
29500-30000,500,20.9216,0.041843
30000-30500,500,22.0467,0.044093
30500-31000,500,22.2019,0.044404
31000-31500,500,20.6251,0.041250
31500-32000,500,19.6953,0.039391
32000-32500,500,20.4458,0.040892
32500-33000,500,30.0798,0.060160
33000-33500,500,21.1461,0.042292
33500-34000,500,20.7005,0.041401
34000-34500,500,21.0728,0.042146
34500-35000,500,20.6865,0.041373
35000-35500,500,22.3443,0.044689
35500-36000,500,20.9975,0.041995
36000-36500,500,20.8807,0.041761
36500-37000,500,21.0653,0.042131
37000-37500,500,21.3728,0.042746
37500-38000,500,22.6906,0.045381
38000-38500,500,22.7078,0.045416
38500-39000,500,21.5361,0.043072
39000-39500,500,20.3294,0.040659
39500-40000,500,26.4801,0.052960
40000-40500,500,20.4384,0.040877
40500-41000,500,22.9395,0.045879
41000-41500,500,20.9858,0.041972
41500-42000,500,19.4462,0.038892
42000-42500,500,20.6552,0.041310
42500-43000,500,19.9573,0.039915
43000-43500,500,20.4309,0.040862
43500-44000,500,21.2378,0.042476
44000-44500,500,22.2902,0.044580
44500-45000,500,20.6540,0.041308
45000-45500,500,20.2453,0.040491
45500-46000,500,23.0097,0.046019
46000-46500,500,20.3618,0.040724
46500-47000,500,23.1709,0.046342
47000-47500,500,22.6662,0.045332
47500-48000,500,19.2258,0.038452
48000-48500,500,19.1738,0.038348
48500-49000,500,22.5337,0.045067
49000-49500,500,19.1051,0.038210
49500-50000,500,19.7990,0.039598
50000-50500,500,21.5329,0.043066
50500-51000,500,20.7956,0.041591
51000-51500,500,22.4313,0.044863
51500-52000,500,20.6722,0.041344
52000-52500,500,29.2244,0.058449
52500-53000,500,21.8751,0.043750
53000-53500,500,23.8418,0.047684
53500-54000,500,21.4210,0.042842
54000-54500,500,22.7789,0.045558
54500-55000,500,23.6710,0.047342
55000-55500,500,20.3887,0.040777
55500-56000,500,23.4608,0.046922
56000-56500,500,20.9229,0.041846
56500-57000,500,21.9991,0.043998
57000-57500,500,21.5108,0.043022
57500-58000,500,21.4168,0.042834
58000-58500,500,23.9072,0.047814
58500-59000,500,22.1934,0.044387
59000-59500,500,22.4515,0.044903
59500-60000,500,25.3802,0.050760
60000-60500,500,21.6648,0.043330
60500-61000,500,22.2283,0.044457
61000-61500,500,24.9217,0.049843
61500-62000,500,22.2915,0.044583
62000-62500,500,21.7921,0.043584
62500-63000,500,21.2725,0.042545
63000-63500,500,20.6961,0.041392
63500-64000,500,22.9102,0.045820
64000-64500,500,22.8842,0.045768
64500-65000,500,24.6405,0.049281
65000-65500,500,22.4318,0.044864
65500-66000,500,23.7911,0.047582
66000-66500,500,22.6450,0.045290
66500-67000,500,21.3301,0.042660
67000-67500,500,22.2616,0.044523
67500-68000,500,22.1460,0.044292
68000-68500,500,24.9946,0.049989
68500-69000,500,25.8815,0.051763
69000-69500,500,25.2229,0.050446
69500-70000,500,20.8686,0.041737
70000-70500,500,21.5793,0.043159
70500-71000,500,21.0040,0.042008
71000-71500,500,20.9194,0.041839
71500-72000,500,19.1542,0.038308
72000-72500,500,21.0293,0.042059
72500-73000,500,21.6451,0.043290
