#"Step","Potential Energy (kJ/mole)","Temperature (K)"
500,-1302719.4039024771,188.46936818368025
1000,-1302694.9470888549,353.4810675509043
1500,-1302673.9974026387,302.2950726147252
2000,-1302673.6633317803,383.41244173519635
2500,-1302664.617304876,309.987476684182
3000,-1302672.8405860667,567.204706974573
3500,-1302649.7454973722,410.2786590709026
4000,-1302641.5616381473,425.5116519829773
4500,-1302650.5704071252,570.7813818890661
5000,-1302656.6532790659,571.4877545249519
5500,-1302642.8821193634,350.90118236061267
6000,-1302655.0017904474,422.89998483838224
6500,-1302644.005440204,334.7619727750036
7000,-1302644.1745180478,284.478906604103
7500,-1302670.321922019,371.0900339086258
8000,-1302667.8893203528,339.4246425083426
8500,-1302658.937207538,451.8087832918304
9000,-1302636.4958067806,375.3622549540041
9500,-1302663.8733674185,380.1295863403961
10000,-1302657.2594553523,427.1349733074688
10500,-1302682.6246509,471.85574597149497
11000,-1302677.4794339952,448.62777353830353
11500,-1302680.5711223797,468.2495908362184
12000,-1302680.508146889,462.2059348202916
12500,-1302653.4247815958,380.61094331974033
13000,-1302666.9646850799,362.52482493891944
13500,-1302666.1661899707,390.92650338605597
14000,-1302627.9925373057,228.14492301612373
14500,-1302673.8833386365,537.0836557218497
15000,-1302657.898954824,393.5393486694684
15500,-1302658.9755019043,337.3535656978911
16000,-1302658.2914492066,526.4363261557284
16500,-1302669.2370686496,407.9388973913423
17000,-1302683.3466846775,478.02585114597395
17500,-1302653.7456584594,451.77263004881166
18000,-1302626.8122105373,394.8601713882239
18500,-1302634.0560834515,335.75521090267176
19000,-1302668.2477081614,422.99220978383846
19500,-1302635.1901142537,301.4902553243584
20000,-1302653.2932993672,277.6818948194923
20500,-1302658.2194941875,442.0112871462527
21000,-1302635.5876999008,516.6981719627466
21500,-1302643.8175880995,381.3186780913183
22000,-1302654.8528158334,471.5641736132542
22500,-1302643.6512427544,561.213025222378
23000,-1302647.914863997,471.9500080404902
23500,-1302673.8595555243,465.6139646295764
24000,-1302659.3051613928,434.52853619284593
24500,-1302660.048395491,487.75404380911743
25000,-1302637.152511243,332.6830659714512
25500,-1302614.1093375098,469.64361225540637
26000,-1302627.1966408028,432.0272077063969
26500,-1302648.590423821,508.2257443984417
27000,-1302633.537885805,525.7581401973373
27500,-1302632.402201487,498.67413435356997
28000,-1302608.2012957993,521.5309984735361
28500,-1302664.6683224784,510.0987831768468
29000,-1302671.7262564502,437.9988684795868
29500,-1302671.8931606878,325.66312897217966
30000,-1302665.4058297311,363.7157674572157
30500,-1302667.8940187087,478.84173413813244
31000,-1302659.0755899106,468.1265560009129
31500,-1302643.9982910492,309.4049868764268
32000,-1302664.5003967849,305.3959220232575
32500,-1302652.6848161493,396.92472756627
33000,-1302648.6351459823,402.04263280947526
33500,-1302670.6869464463,430.0060392798373
34000,-1302647.5180015296,367.20803598533826
34500,-1302680.174362004,395.82963737029525
35000,-1302671.4749947472,400.80167938536636
35500,-1302691.4195542547,363.6090698828989
36000,-1302677.6070625922,382.12678012243447
36500,-1302656.775390931,361.5262822410052
37000,-1302650.1387629048,449.57823301757327
37500,-1302661.3686713628,470.02933840891956
38000,-1302655.1763757786,483.2118781399829
38500,-1302667.5835703001,617.3997266394975
39000,-1302650.0909618167,463.39237071750966
39500,-1302652.1235790844,613.5192004303203
40000,-1302645.9957903046,433.2333465230173
40500,-1302657.784586651,326.45265114735207
41000,-1302644.8579039194,382.44760535690716
41500,-1302621.862560802,359.5621532398049
42000,-1302612.115170316,397.9132497294715
42500,-1302648.5549108423,385.4302666963614
43000,-1302643.1606909884,351.4368828342299
43500,-1302637.2492276696,439.8476535865357
44000,-1302647.232713985,507.1416861205089
44500,-1302637.427615899,365.26604032854004
45000,-1302662.9347130777,449.6770178998277
45500,-1302654.8386482154,492.5144301861003
46000,-1302666.0548883353,424.0445266881752
46500,-1302651.4126282337,369.2704261509894
47000,-1302659.8236964385,436.6235545765815
47500,-1302654.4040468645,542.5199217619983
48000,-1302614.3918622734,328.8170175736703
48500,-1302668.6109073774,305.0936633009692
49000,-1302676.1867452792,381.9050603553935
49500,-1302619.7191668074,360.86690261327243
50000,-1302674.231498336,322.89477927196714
50500,-1302687.3124258232,293.0087789911608
51000,-1302675.7704777326,384.2995636245297
51500,-1302661.9798287982,269.0061181698509
52000,-1302628.1055444232,438.35260125422076
