Step Range,Steps,Time (seconds),Time per Step (seconds)
0-500,500,15.8162,0.031632
500-1000,500,15.1329,0.030266
1000-1500,500,14.8155,0.029631
1500-2000,500,15.3508,0.030702
2000-2500,500,15.2563,0.030513
2500-3000,500,15.6622,0.031324
3000-3500,500,15.4980,0.030996
3500-4000,500,15.3145,0.030629
4000-4500,500,15.8893,0.031779
4500-5000,500,15.6299,0.031260
5000-5500,500,15.9514,0.031903
5500-6000,500,15.0799,0.030160
6000-6500,500,16.0805,0.032161
6500-7000,500,15.6829,0.031366
7000-7500,500,15.3454,0.030691
7500-8000,500,15.7348,0.031470
8000-8500,500,16.6730,0.033346
8500-9000,500,15.3190,0.030638
9000-9500,500,15.2097,0.030419
9500-10000,500,15.4799,0.030960
10000-10500,500,15.4424,0.030885
10500-11000,500,15.0140,0.030028
11000-11500,500,15.1096,0.030219
11500-12000,500,14.4371,0.028874
12000-12500,500,14.4576,0.028915
12500-13000,500,14.7893,0.029579
13000-13500,500,15.3666,0.030733
13500-14000,500,15.4094,0.030819
14000-14500,500,15.4484,0.030897
14500-15000,500,15.8893,0.031779
15000-15500,500,15.6271,0.031254
15500-16000,500,15.4383,0.030877
16000-16500,500,15.6419,0.031284
16500-17000,500,14.6546,0.029309
17000-17500,500,14.9427,0.029885
17500-18000,500,14.3723,0.028745
18000-18500,500,14.8729,0.029746
18500-19000,500,14.4834,0.028967
19000-19500,500,14.8487,0.029697
19500-20000,500,15.4630,0.030926
20000-20500,500,15.0435,0.030087
20500-21000,500,14.5434,0.029087
21000-21500,500,14.6086,0.029217
21500-22000,500,15.0756,0.030151
22000-22500,500,15.3100,0.030620
22500-23000,500,14.9289,0.029858
23000-23500,500,14.8606,0.029721
23500-24000,500,15.0931,0.030186
24000-24500,500,15.8513,0.031703
24500-25000,500,14.1958,0.028392
25000-25500,500,14.6298,0.029260
25500-26000,500,15.4378,0.030876
26000-26500,500,15.2148,0.030430
26500-27000,500,14.8745,0.029749
27000-27500,500,15.0244,0.030049
27500-28000,500,14.4841,0.028968
28000-28500,500,14.5491,0.029098
28500-29000,500,14.6538,0.029308
29000-29500,500,15.3582,0.030716
29500-30000,500,15.0547,0.030109
30000-30500,500,15.4627,0.030925
30500-31000,500,15.2710,0.030542
31000-31500,500,15.2085,0.030417
31500-32000,500,14.3314,0.028663
32000-32500,500,15.2238,0.030448
32500-33000,500,16.2510,0.032502
33000-33500,500,15.4222,0.030844
33500-34000,500,15.0909,0.030182
34000-34500,500,15.0039,0.030008
34500-35000,500,15.8416,0.031683
35000-35500,500,16.4411,0.032882
35500-36000,500,15.0219,0.030044
36000-36500,500,15.0046,0.030009
36500-37000,500,14.8056,0.029611
37000-37500,500,15.0690,0.030138
37500-38000,500,15.4221,0.030844
38000-38500,500,14.2530,0.028506
38500-39000,500,15.4088,0.030818
39000-39500,500,16.1634,0.032327
39500-40000,500,14.7963,0.029593
40000-40500,500,16.0633,0.032127
40500-41000,500,16.0969,0.032194
41000-41500,500,14.0873,0.028175
41500-42000,500,14.3258,0.028652
42000-42500,500,14.6468,0.029294
42500-43000,500,15.3700,0.030740
43000-43500,500,15.2198,0.030440
43500-44000,500,14.8366,0.029673
44000-44500,500,14.2021,0.028404
44500-45000,500,14.5755,0.029151
