#"Step","Potential Energy (kJ/mole)","Temperature (K)"
500,-9148.041809353294,170.16622172238368
1000,-9140.16607056145,267.4390257468604
1500,-9141.134040670551,199.04276781438793
2000,-9124.666078338796,209.71329556268944
2500,-9131.789152880081,254.01156638216838
3000,-7997.733716779426,46455.60355143064
3500,-7433.057992032583,8301.245562324933
4000,-7429.965574198152,1493.185223290387
4500,-7460.190130723826,449.7803602984953
5000,-7482.440075276358,349.8232573162525
5500,-7464.032593424581,335.3315892317979
6000,-7470.64374919503,282.82089324850176
6500,-7456.801262295941,335.23981375265043
7000,-7478.843153805911,268.7099899969966
7500,-7454.276270973884,286.89452069891865
8000,-7446.923471167431,390.33822152435744
8500,-7451.024826974525,353.54410529784786
9000,-7048.4982284952575,579.0560391893506
9500,-5800.762405242292,2344.683270923895
10000,-5106.379994743951,1357.3885747359088
