Step Range,Steps,Time (seconds),Time per Step (seconds)
0-500,500,528.9002,1.057800
500-1000,500,524.5442,1.049088
1000-1500,500,526.7510,1.053502
1500-2000,500,527.3340,1.054668
2000-2500,500,527.4113,1.054823
2500-3000,500,529.8059,1.059612
3000-3500,500,470.1048,0.940210
3500-4000,500,465.2060,0.930412
4000-4500,500,465.4630,0.930926
4500-5000,500,467.7702,0.935540
5000-5500,500,466.2230,0.932446
5500-6000,500,466.0498,0.932100
6000-6500,500,464.0253,0.928051
6500-7000,500,465.4706,0.930941
7000-7500,500,466.0341,0.932068
7500-8000,500,465.4963,0.930993
8000-8500,500,465.4234,0.930847
8500-9000,500,459.8614,0.919723
9000-9500,500,387.0992,0.774198
9500-10000,500,363.9409,0.727882
